Source	INDLABEL	h_posterior_mode	h_cred_int_lower	h_cred_int_upper	beta_mean	beta_var	beta_shape1	beta_shape2	dataset	BX0.rf_votes	BX1.rf_votes	F1_F2.rf_votes	source0.rf_votes	source1.rf_votes	BX0.abc_prob	BX1.abc_prob	F1_F2.abc_prob	source0.abc_prob	source1.abc_prob	rf	max_rf_votes	abc	max_abc_prob
44	S1	fuen_22224_1	1	0.9775	0.9999	0.994559514937767	3.83905506303988e-05	139.1818	0.7614	observed	0	0.0122	0	0	0.9878	0	0	0	0	1	source1	0.9878	source1	1
45	TEST	fuen_22225_1	0.4821	0.4008	0.5644	0.482361020505721	0.00174574651194701	68.5083	73.5187	observed	0.0614	0.0432	0.8908	0.0015	0.0031	0	0	1	0	0	F1_F2	0.8908	F1_F2	1
46	S1	fuen_22227_2	1	0.9704	1	0.993111823646868	6.72470253832116e-05	100.0316	0.6938	observed	0	1e-04	7e-04	0	0.9992	0	0	0	0	1	source1	0.9992	source1	1
47	S0	fuen_22229_1	0.0932	0.0335	0.2446	0.117626359336154	0.00302152752667499	3.9229	29.4274	observed	0.1333	0.0059	0.0013	0.8575	0.002	0.5	0	0	0.5	0	source0	0.8575	BX0	0.5
48	TEST	fuen_22242_1	0.6661	0.5936	0.7314	0.664254687605722	0.00123900445655344	118.9014	60.0983	observed	0	0.9044	0.0898	1e-04	0.0057	0	1	0	0	0	BX1	0.9044	BX1	1
49	S0	fuen_22252_1	0	1e-04	0.0252	0.00635034457821603	4.78231887251691e-05	0.8315	130.1132	observed	0.0059	0	0	0.9941	0	0	0	0	1	0	source0	0.9941	source0	1
50	S0	fuen_22258_1	0	0	0.0475	0.00932269261648279	0.000178219085648487	0.4738	50.3488	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
51	S0	fuen_22269_1	0	1e-04	0.0293	0.00692160566169749	6.56131227094032e-05	0.7182	103.0428	observed	8e-04	0	0	0.9992	0	0	0	0	1	0	source0	0.9992	source0	1
52	S0	fuen_22271B_1	0	1e-04	0.0372	0.00941117072744669	0.00010376476945513	0.8361	88.0075	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
53	S0	fuen_22274A_1	0	0	0.033	0.00745555680163735	8.37963582637747e-05	0.6509	86.658	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
54	S0	fuen_22276A_1	0	4e-04	0.0948	0.0244436096499061	0.000669102316335756	0.8467	33.7923	observed	1e-04	1e-04	0	0.9998	0	0	0	0	1	0	source0	0.9998	source0	1
55	S0	fuen_22277A_1	0	1e-04	0.0247	0.00627970021056042	4.58167718125269e-05	0.849	134.3514	observed	0.0059	0	0	0.9941	0	0	0	0	1	0	source0	0.9941	source0	1
56	TEST	fuen_22278_1	0.2768	0.2119	0.3529	0.279710286083781	0.00129788672484272	43.14	111.0911	observed	0.9954	0	0.0035	0.001	1e-04	1	0	0	0	0	BX0	0.9954	BX0	1
57	TEST	fuen_22280_1	0.6636	0.5802	0.7377	0.661167041309893	0.00162050800219091	90.7411	46.5027	observed	0	0.8868	0.1004	1e-04	0.0127	0	1	0	0	0	BX1	0.8868	BX1	1
58	TEST	fuen_22282_1	0.414	0.3305	0.5028	0.415370070745849	0.00193759416455083	51.6428	72.6868	observed	0.0985	0.0405	0.8525	0.0048	0.0037	0	0	1	0	0	F1_F2	0.8525	F1_F2	1
59	TEST	fuen_22346B_1	0.2448	0.1391	0.3957	0.256687493685618	0.00435187656092973	10.9972	31.8457	observed	0.6776	0.0406	0.0098	0.2629	0.0091	1	0	0	0	0	BX0	0.6776	BX0	1
